scorer,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN
bodyparts,front,front,hind1,hind1,hind2,hind2,nose,nose,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,tail,tail,wheel,wheel
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img0030.png,,,464.8061046737695,310.1673924877517,420.57249397309295,290.5080099541177,667.5434870518706,410.9217279726262,606.1079166342641,273.30605023718795,507.81100396609395,200.81207714441246,386.1685745392333,200.81207714441246,323.5042927132748,252.4179562952018,447.6041449568397,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img0121.png,555.7307488918269,284.3644529123571,494.2951784742205,262.2476475620188,437.7744536900227,258.56151333696243,,,606.1079166342641,202.04078855276452,489.380332840812,161.49331207714442,381.2537289058248,190.98238587759545,301.38748736293655,241.3595536200326,447.6041449568397,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img0565.png,585.2198226922781,328.5980636130337,445.14672214013547,272.0773388288358,384.93986313088124,273.30605023718795,640.5118360681238,376.51780853876664,609.7940508593206,263.47635897037094,495.5238898825727,192.21109728594752,354.22207792207803,203.2694999611167,271.8984135624854,243.81697643673687,446.37543354848754,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img0748.png,,,423.0299167897972,267.1624931954273,370.1953262306556,275.7634730538922,598.7356481841514,297.88027840423047,542.2149233999536,187.296251652539,436.5457422816705,156.57846644373592,344.392386655261,213.09919122793372,296.47264172952794,302.79512403763897,447.6041449568397,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img0945.png,570.4752857920524,327.36935220468155,294.0152189128237,359.3158488218368,259.61129947896416,329.8267750213858,665.0860642351663,321.2257951629209,582.7623998755738,224.15759390310285,445.14672214013547,179.92398320242626,332.10527257173965,220.47145967804647,271.8984135624854,324.9119293879773,447.6041449568397,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img1058.png,478.3219301656429,262.2476475620188,295.24393032117587,417.0652850143868,273.1271249708376,375.28909713041446,628.2247219846025,315.0822381211603,555.7307488918269,216.7853254529901,429.17347383155777,172.5517147523135,327.19042693833114,219.24274826969435,,,446.37543354848754,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img1266.png,441.46058791507903,256.1040905202582,305.0736215879929,361.7732716385411,284.1855276460067,365.45940586359745,593.8208025507429,254.87537911190606,504.1248697410376,186.06754024418694,354.22207792207803,205.72692277782096,262.0687222956684,291.73672136246984,243.63805117038646,375.28909713041446,445.14672214013547,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img1277.png,560.6455945252354,308.9386810793996,290.32908468776736,380.203942763823,260.84001088731634,344.5713119216113,685.9741581771525,283.13574150400495,583.9911112839259,222.92888249475072,441.46058791507903,188.5249630608912,312.44589003810563,235.21599657827198,253.46774243720347,313.85352671280816,446.37543354848754,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img1346.png,504.1248697410376,270.8486274204837,314.9033128548099,333.5129092464422,280.49939342095035,332.28419783809005,612.2514736760248,315.0822381211603,542.2149233999536,224.15759390310285,404.59924566451525,188.5249630608912,297.7013531378801,235.21599657827198,236.2657827202737,322.45450657127304,447.6041449568397,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img1587.png,430.40218523990995,261.0189361536667,431.630896648262,272.0773388288358,377.5675946807685,276.9921844622443,611.0227622676726,290.5080099541177,554.5020374834749,215.55661404463797,421.801205381445,163.95073489384868,323.5042927132748,219.24274826969435,273.1271249708376,300.3377012209347,447.6041449568397,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img1649.png,,,313.6746014464578,344.5713119216113,287.871661871063,364.2306944552453,569.2465743837004,252.4179562952018,482.00806439069925,171.32300334396143,345.6210980636131,187.296251652539,274.35583637918967,264.70507037872306,251.01031962049922,388.8049226222879,448.8328563651918,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img1992.png,458.6625476320089,281.90703009565283,290.32908468776736,386.34749980558365,273.1271249708376,371.6029629053581,612.2514736760247,279.4496072789486,516.4119838245589,206.95563418617303,391.0834201726418,182.3814060191305,302.6161987712886,230.30115094486348,,,447.6041449568397,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img2276.png,474.6357959405865,265.9337817870752,263.2974337040206,387.5762112139358,268.2122793374291,425.6662648728517,556.9594603001791,245.045687845089,436.5457422816705,199.58336573606027,313.6746014464578,246.27439925344112,243.63805117038646,334.7416206547943,,,448.8328563651918,415.8365736060347
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img2301.png,328.4191383466833,318.76837234621667,319.8181584882184,477.27214402364103,,,443.9180107317833,230.30115094486348,301.38748736293655,246.27439925344112,254.69645384555565,354.4010031884283,265.75485652072484,442.8682245897815,317.36073567151413,517.8196204992612,448.8328563651918,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img2400.png,,,,,,,311.21717862975356,322.45450657127304,253.46774243720347,418.2939964227389,316.13202426316207,514.1334862742049,,,,,445.14672214013547,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img2606.png,,,,,,,,,,,,,,,,,447.6041449568397,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img2859.png,,,,,,,,,,,,,,,,,447.6041449568397,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img2914.png,,,,,,,,,,,,,,,,,447.6041449568397,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img2932.png,,,,,,,,,,,,,,,,,447.6041449568397,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_aRAMP_L\img2988.png,,,,,,,,,,,,,,,,,448.8328563651918,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img0057.png,517.640695232911,308.9386810793996,382.482440314177,283.13574150400495,350.5359436970216,265.9337817870752,595.0495139590951,313.85352671280816,579.0762656505174,268.39120460377944,489.380332840812,194.66852010265177,397.2269772144025,190.98238587759545,292.7865075044716,229.07243953651135,416.8863597480365,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img0221.png,525.0129636830237,313.85352671280816,383.71115172252905,286.82187572906133,345.6210980636131,269.61991601213157,628.2247219846025,138.14779531845397,496.7526012909249,172.5517147523135,424.25862819814927,166.40815771055293,341.93496383855677,167.636869118905,278.0419706042461,229.07243953651135,414.42893693133226,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img1377.png,480.7793529823472,286.82187572906133,335.7914067967961,313.85352671280816,298.9300645462323,305.2525468543432,599.9643595925036,349.4861575550198,554.5020374834749,274.5347616455401,437.7744536900227,190.98238587759545,328.4191383466833,206.95563418617303,265.75485652072484,273.30605023718795,414.42893693133226,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img1671.png,411.971514114628,278.22089587059645,259.61129947896416,442.8682245897815,230.12222567851313,398.6346138891049,592.5920911423908,316.3109495295124,522.5555408663195,252.4179562952018,392.312131580994,193.4398086942997,279.2706820125982,242.58826502838474,209.23413173652693,315.0822381211603,416.8863597480365,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img1809.png,470.94966171553017,285.5931643207092,301.38748736293655,334.7416206547943,265.75485652072484,332.28419783809005,630.6821448013068,324.9119293879773,548.3584804417142,263.47635897037094,411.971514114628,200.81207714441246,306.30233299634506,231.5298623532156,237.4944941286259,308.9386810793996,416.8863597480365,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img1822.png,437.7744536900227,276.9921844622443,276.8132591958939,356.85842600513257,246.0954739870907,342.11388910490706,623.309876351194,342.11388910490706,536.0713663581929,270.8486274204837,409.51409129792376,200.81207714441246,285.41423905435886,230.30115094486348,221.5212458200482,295.4228555875262,416.8863597480365,414.60786219768255
